"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,948,"0.0-0.0","pena802487phcyh",623,"193.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,4250,"0.0-1.0","pena802487phcyh",623,"193.csv","true","","","","",NA,NA,NA,NA,""
"survey-html-form",2,18729,"0.0-2.0","pena802487phcyh",623,"193.csv","","14474.70000076294","","","",NA,NA,NA,NA,""
"image-keyboard-response",3,23016,"0.0-3.0-0.0","pena802487phcyh",623,"193.csv","","4286.699998855591","resources/images/parrot_nobg.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",4,26029,"0.0-3.0-1.0","pena802487phcyh",623,"193.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",5,27252,"0.0-3.0-2.0","pena802487phcyh",623,"193.csv","","1222.400001525879","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",6,28062,"0.0-3.0-3.0","pena802487phcyh",623,"193.csv","","809.3000011444092","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",7,28459,"0.0-3.0-4.0","pena802487phcyh",623,"193.csv","","395.8000011444092","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",8,29655,"0.0-3.0-5.0","pena802487phcyh",623,"193.csv","","1195.3999996185303","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,31520,"0.0-3.0-6.0","pena802487phcyh",623,"193.csv","","1864","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",10,32602,"0.0-3.0-7.0","pena802487phcyh",623,"193.csv","","1082","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",11,34038,"0.0-3.0-8.0","pena802487phcyh",623,"193.csv","","1435.3000011444092","<p>You can track your coin total on the top right of your screen. </p><p>At the end of your journey you will be directed to a survey, so please click on the link before exiting the task</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
