"trial_type","trial_index","time_elapsed","internal_node_id","subject","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,2018,"0.0-0.0","s2zthvxk4cjltjq","71.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,16456,"0.0-1.0","s2zthvxk4cjltjq","71.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,18467,"0.0-2.0-0.0","s2zthvxk4cjltjq","71.csv","","2008.5999999046326","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",3,21469,"0.0-2.0-1.0","s2zthvxk4cjltjq","71.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,21954,"0.0-2.0-2.0","s2zthvxk4cjltjq","71.csv","","483.89999997615814","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,22053,"0.0-2.0-3.0","s2zthvxk4cjltjq","71.csv","","96","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,22245,"0.0-2.0-4.0","s2zthvxk4cjltjq","71.csv","","190.39999997615814","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,22541,"0.0-2.0-5.0","s2zthvxk4cjltjq","71.csv","","294.60000002384186","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,22662,"0.0-2.0-6.0","s2zthvxk4cjltjq","71.csv","","119.60000002384186","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,23211,"0.0-2.0-7.0","s2zthvxk4cjltjq","71.csv","","548.9000000953674","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,23831,"0.0-2.0-8.0","s2zthvxk4cjltjq","71.csv","","617.7999999523163","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,24144,"0.0-3.0-0.0","s2zthvxk4cjltjq","71.csv","","310.10000002384186","resources/trios/L2T2A1.jpg","37","restless",0.3,0.9,0.7,0.355023702328154,"false"
"image-keyboard-response",12,24548,"0.0-3.0-1.0","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",13,25753,"0.0-3.0-2.0","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",14,25858,"0.0-3.1-0.1","s2zthvxk4cjltjq","71.csv","","102.59999990463257","resources/trios/L2T4A2.jpg","37","restless",0.3,0.9,0.7,0.150378908753101,"true"
"image-keyboard-response",15,26266,"0.0-3.1-1.1","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",16,27474,"0.0-3.1-2.1","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",17,27622,"0.0-3.2-0.2","s2zthvxk4cjltjq","71.csv","","145.79999995231628","resources/trios/L2T4A1.jpg","38","restless",0.3,0.9,0.7,0.0231344539919072,"true"
"image-keyboard-response",18,28025,"0.0-3.2-1.2","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",19,29231,"0.0-3.2-2.2","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",20,29247,"0.0-3.3-0.3","s2zthvxk4cjltjq","71.csv","","14.299999952316284","resources/trios/L4T4A2.jpg","37","restless",0.3,0.9,0.7,0.763296318910845,"false"
"image-keyboard-response",21,29649,"0.0-3.3-1.3","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",22,30851,"0.0-3.3-2.3","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",23,31112,"0.0-3.4-0.4","s2zthvxk4cjltjq","71.csv","","258.89999997615814","resources/trios/L2T4A2.jpg","39","restless",0.3,0.9,0.7,0.797606447341534,"false"
"image-keyboard-response",24,31518,"0.0-3.4-1.4","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BBA2.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",25,32722,"0.0-3.4-2.4","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",26,32743,"0.0-3.5-0.5","s2zthvxk4cjltjq","71.csv","","18.600000023841858","resources/trios/L4T4A2.jpg","37","restless",0.3,0.9,0.7,0.555151228530751,"false"
"image-keyboard-response",27,33147,"0.0-3.5-1.5","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L4BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",28,34351,"0.0-3.5-2.5","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",29,34656,"0.0-3.6-0.6","s2zthvxk4cjltjq","71.csv","","302.5","resources/trios/L2T4A1.jpg","37","restless",0.3,0.9,0.7,0.476875078483955,"false"
"image-keyboard-response",30,35058,"0.0-3.6-1.6","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/L2BB.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",31,36262,"0.0-3.6-2.6","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",32,36467,"0.0-3.7-0.7","s2zthvxk4cjltjq","71.csv","","202.89999997615814","resources/trios/L2T4A1.jpg","38","restless",0.3,0.9,0.7,0.614724531704536,"true"
"image-keyboard-response",33,36873,"0.0-3.7-1.7","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",34,38077,"0.0-3.7-2.7","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",35,38186,"0.0-3.8-0.8","s2zthvxk4cjltjq","71.csv","","107","resources/trios/L4T2A1.jpg","38","restless",0.3,0.8,0.7,0.775335007088954,"true"
"image-keyboard-response",36,38591,"0.0-3.8-1.8","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",37,39794,"0.0-3.8-2.8","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",38,40006,"0.0-3.9-0.9","s2zthvxk4cjltjq","71.csv","","209.20000004768372","resources/trios/L2T2A2.jpg","38","restless",0.3,0.8,0.7,0.833065334633193,"false"
"image-keyboard-response",39,40408,"0.0-3.9-1.9","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",40,41615,"0.0-3.9-2.9","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",41,41787,"0.0-3.10-0.10","s2zthvxk4cjltjq","71.csv","","169","resources/trios/L4T2A1.jpg","38","restless",0.3,0.8,0.7,0.6821824686198,"true"
"image-keyboard-response",42,42194,"0.0-3.10-1.10","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",43,43397,"0.0-3.10-2.10","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",44,43942,"0.0-3.11-0.11","s2zthvxk4cjltjq","71.csv","","542.6999999284744","resources/trios/L2T4A1.jpg","38","restless",0.3,0.7,0.7,0.850253407386583,"false"
"image-keyboard-response",45,44349,"0.0-3.11-1.11","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
