"trial_type","trial_index","time_elapsed","internal_node_id","subject","participantCode","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"pavlovia",0,1411,"0.0-0.0","yaafl1lj5ah4r2a",715,"96.csv","","","","","",NA,NA,NA,NA,""
"fullscreen",1,6158,"0.0-1.0","yaafl1lj5ah4r2a",715,"96.csv","true","","","","",NA,NA,NA,NA,""
"html-keyboard-response",2,11416,"0.0-2.0-0.0","yaafl1lj5ah4r2a",715,"96.csv","","5257","<p><font size='6'>Arrrgh!</p></font><p>Can you be the best pirate? Try to find lots of gold! But beware, some islands have more gold than others, and over time, the island with the most gold may change. Can YOU figure it out? </p><font size='6'>GOOD LUCK, CAPTAIN!!!</font><p>Press any key to begin</p>","32","",NA,NA,NA,NA,""
"image-keyboard-response",3,14419,"0.0-2.0-1.0","yaafl1lj5ah4r2a",715,"96.csv","","null","resources/image_sets/111.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",4,17229,"0.0-2.0-2.0","yaafl1lj5ah4r2a",715,"96.csv","","2809","resources/image_sets/left_highlight.png","37","",NA,NA,NA,NA,""
"image-keyboard-response",5,20114,"0.0-2.0-3.0","yaafl1lj5ah4r2a",715,"96.csv","","2883.9999999999964","resources/image_sets/mid_highlight.png","38","",NA,NA,NA,NA,""
"image-keyboard-response",6,21310,"0.0-2.0-4.0","yaafl1lj5ah4r2a",715,"96.csv","","1193","resources/image_sets/right_highlight.png","39","",NA,NA,NA,NA,""
"image-keyboard-response",7,24051,"0.0-2.0-5.0","yaafl1lj5ah4r2a",715,"96.csv","","2740","resources/image_sets/111.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",8,28057,"0.0-2.0-6.0","yaafl1lj5ah4r2a",715,"96.csv","","4006.0000000000036","resources/images/coin2.png","13","",NA,NA,NA,NA,""
"image-keyboard-response",9,29944,"0.0-2.0-7.0","yaafl1lj5ah4r2a",715,"96.csv","","1886.0000000000073","resources/images/fishbone.png","13","",NA,NA,NA,NA,""
"html-keyboard-response",10,36561,"0.0-2.0-8.0","yaafl1lj5ah4r2a",715,"96.csv","","6615.000000000007","<p>Your first journey will be a long one, but you will get a well deserved break at the end</p><p>After the break you will have four more journeys, but each will be much shorter than the first, and you will have breaks in between each</p><p>Press Enter to begin</p>","13","",NA,NA,NA,NA,""
"image-keyboard-response",11,43565,"0.0-3.0-0.0","yaafl1lj5ah4r2a",715,"96.csv","","7004","resources/trios/L1T4A1.jpg","38","restless",0.7,0.9,0.3,0.616533533823248,"true"
