group,subject,num_trials,num_correct,p_reward,p_chance,reward_over_chance,avg_rt,median_rt,sd_rt,max_choice_bias
spark,xo2uzc5keh8cdno,200,119,0.595,0.4535,0.14149999999999996,289.11350000004285,258.59999999962747,141.9164871123921,0.47
spark,wfmtul7qoeoykes,200,138,0.69,0.5518333333333333,0.13816666666666666,233.24849999904632,194.59999990463257,204.79039290504488,0.62
spark,c1yeqa4qnalb7me,200,133,0.665,0.5305,0.13450000000000006,338.755,253.5,365.73708185006484,0.5
rep,6ms5mnsj21nfn5v,300,192,0.64,0.5075555555555555,0.13244444444444448,449.67933332602183,303.4499999284744,622.5732198598951,0.5933333333333334
rep,2r3ptwvy965fj5t,300,187,0.6233333333333333,0.49622222222222223,0.12711111111111106,947.0899999999996,534,1916.3040798164207,0.7066666666666667
spark,d7c5zmytwlqw3yu,200,136,0.68,0.555,0.125,433.1394999998063,339.05000000074506,451.68740879719286,0.635
spark,seu4neodvh38f7y,200,121,0.605,0.4841666666666667,0.12083333333333329,352.1399999991804,261.19999999552965,502.22799343221925,0.61
spark,4yjc7hw8kl5hhnl,200,136,0.68,0.563,0.1170000000000001,839.8725000014902,347.25,2031.7186744329686,0.445
spark,omhxvnwssrwzkau,200,122,0.61,0.4945,0.11549999999999999,246.83099999969826,126.15000000037253,930.2429649332872,0.39
spark,6uko8l4u3esu4ne,200,128,0.64,0.5258333333333334,0.11416666666666664,379.04799999684093,282,309.09951040398033,0.81
rep,s2zthvxk4cjltjq,300,180,0.6,0.4865555555555555,0.11344444444444446,237.53999999523163,107.44999998807907,1168.2391721485808,0.37666666666666665
spark,9v7dx59jullgljs,200,121,0.605,0.49266666666666664,0.11233333333333334,614.1699999998137,144.54999999701977,3416.470112447401,0.445
rep,5x11pzsynjysc0x,300,184,0.6133333333333333,0.5042222222222222,0.10911111111111105,1084.274999998013,831.8499999940395,884.087632504043,0.4066666666666667
rep,417wd0axwg7sf08,300,183,0.61,0.5042222222222222,0.10577777777777775,532.666666666663,340.0000000000291,791.6300626402526,0.4033333333333333
rep,4pac2lkzdwll4r3,300,182,0.6066666666666667,0.5031111111111111,0.10355555555555562,595.8683333337307,416.6499999985099,496.43636495021366,0.44666666666666666
spark,4dpnshc31q2v0vl,200,126,0.63,0.5293333333333333,0.10066666666666668,536.6525000000023,365.1999999997206,484.736523048992,0.64
rep,jy0po99ckc5rgql,300,179,0.5966666666666667,0.49766666666666665,0.09900000000000003,488.3236666681369,328.7999999821186,938.0187945896726,0.39
spark,omxc7oaez7as8xu,200,126,0.63,0.5325,0.09750000000000003,632.9570000000036,459.20000000001164,687.7644797815954,0.48
spark,tgdugzqgqvl0tok,200,123,0.615,0.5188333333333334,0.09616666666666662,415.6239999911189,265.69999998807907,660.3318429681299,0.505
spark,4z6db74p8xzyshe,200,125,0.625,0.5305,0.09450000000000003,367.8445000016689,265.40000000596046,375.78571204460775,0.46
rep,27vew4dgqp7ao2p,300,177,0.59,0.4955555555555555,0.09444444444444444,743.1626666684946,361.64999997615814,991.4646926613435,0.38333333333333336
spark,jnqr7br1x8vlvx8,200,128,0.64,0.546,0.09399999999999997,250.965,204,218.1273515229396,0.58
spark,2k438krwd3k4xqx,200,116,0.58,0.48616666666666664,0.09383333333333332,452.9129999999143,356.15000000037253,356.3210415542506,0.425
spark,t0x6vxx70vsqmdh,200,120,0.6,0.5063333333333333,0.09366666666666668,309.90000000000117,264,322.2822041247015,0.45
rep,20g8gaznvzcrza5,300,178,0.5933333333333334,0.5013333333333333,0.09200000000000008,486.51566665331524,396.64999985694885,326.02964634233206,0.4066666666666667
spark,7tpzu16bj8n8fd2,200,117,0.585,0.49383333333333335,0.09116666666666662,349.41199999570847,256.1999999284744,413.9388553126903,0.485
rep,r1catxd7wqkmehe,300,178,0.5933333333333334,0.5042222222222222,0.08911111111111114,636.9623333422343,445.34999990463257,579.7159845636676,0.3933333333333333
rep,1z5t5teqo101ox9,300,174,0.58,0.4915555555555555,0.08844444444444444,1080.3383333337306,751.2999999523163,1070.5480510158718,0.56
rep,s03zx64ty2uaehk,300,174,0.58,0.4921111111111111,0.08788888888888885,778.0559999624888,609.4999995231628,592.4807761818267,0.53
rep,mwcqrrcczvjsbnx,300,176,0.5866666666666667,0.49933333333333335,0.08733333333333332,1043.9826666665076,433.75,4678.198050678257,0.4266666666666667
spark,hlsmo06vhrfpt8l,200,117,0.585,0.498,0.08699999999999997,313.551499992609,220.90000009536743,340.50538406860323,0.39
rep,rhx7eruteguet17,300,177,0.59,0.5035555555555555,0.08644444444444443,2244.091000000437,946.7500000298023,3720.0261397050194,0.49
spark,t2vfwg53gjeslzh,200,121,0.605,0.5188333333333334,0.08616666666666661,271.777999997139,244.950000166893,217.7215286481682,0.365
rep,9uavves474fs3b2,300,178,0.5933333333333334,0.5075555555555555,0.08577777777777784,694.3100000000004,518,524.6149732268271,0.35333333333333333
spark,ht9n4mlwdhvjl91,200,112,0.56,0.4746666666666667,0.08533333333333337,239.33599999904632,142.94999992847443,636.5962290188239,0.38
spark,mpzxacpehg69duw,200,131,0.655,0.5703333333333334,0.08466666666666667,830.9334999984503,284.05000001192093,3605.1316397879036,0.435
rep,fc60n7tg2jdxje4,300,177,0.59,0.5083333333333333,0.08166666666666667,1195.5633333333355,458.5000000000582,2645.0492277801127,0.43
rep,skn5vpde2eurr8u,300,173,0.5766666666666667,0.4955555555555555,0.08111111111111113,1107.3376666666195,495.80000000074506,2849.5907043800676,0.4633333333333333
spark,w1qhombhg1kge2c,200,130,0.65,0.5695,0.08050000000000002,1699.745,297.5,14862.108373190436,0.495
spark,0v9s70j9ahfy7a7,200,120,0.6,0.52,0.07999999999999996,276.895,250.5,333.29983177961793,0.39
rep,jsnakn4m73maafz,300,176,0.5866666666666667,0.5076666666666667,0.07899999999999996,1288.5096666701634,1145.6500000953674,706.9394997232575,0.36
rep,rhg6xwwvd29p6ec,300,174,0.58,0.5011111111111111,0.0788888888888889,600.4886666668455,433.04999999701977,479.0987430128471,0.4033333333333333
spark,gnh9a92utd42dqx,200,121,0.605,0.5286666666666667,0.07633333333333325,614.3120000004768,317.84999999403954,523.8459290088834,0.36
rep,wluc2hctgut2hlm,300,172,0.5733333333333334,0.4974444444444444,0.07588888888888895,533.0479999995232,333.30000001192093,465.5896728972753,0.45
rep,by0ltr49hznn1rq,300,175,0.5833333333333334,0.5075555555555555,0.07577777777777783,507.88000000000017,342.4999999999709,636.8674583183544,0.4033333333333333
rep,hvconp1fg8ucxc5,300,174,0.58,0.5046666666666667,0.07533333333333325,459.356666692098,338.25,488.6416877199455,0.35
spark,xf4gtoalamdqxxe,200,125,0.625,0.55,0.07499999999999996,1480.7750000017882,948.3000000119209,1726.2575291478488,0.795
spark,cc9tfmds0xs9gyh,200,121,0.605,0.5303333333333333,0.07466666666666666,684.0949999991059,291.15000000596046,2080.8039061505383,0.385
spark,nj3plvqcjfltacj,200,129,0.645,0.5703333333333334,0.07466666666666666,319.18849999547007,295.8000000715256,172.3646640373174,0.535
rep,wl8mqz8bee2bqfa,300,171,0.57,0.49566666666666664,0.0743333333333333,407.6139999995629,281.19999998807907,495.35790237211984,0.4
spark,yowb21svt76o5km,200,114,0.57,0.4973333333333333,0.07266666666666666,261.33600001215933,166.85000002384186,675.5003064674004,0.635
spark,yrdqbys9rhspseh,200,130,0.65,0.5776666666666667,0.07233333333333336,386.03749999940396,207.19999998807907,888.1433289740878,0.375
spark,9z1r0tjpthx1upo,200,118,0.59,0.5181666666666667,0.0718333333333333,7181.462000001669,447.8000000715256,91372.34316535322,0.905
spark,lrjngex4bcj0q9o,200,128,0.64,0.5683333333333334,0.07166666666666666,415.6915000247955,275.2999999523163,582.9819312308454,0.39
rep,6rufc2lcx3w072l,300,173,0.5766666666666667,0.5052222222222222,0.07144444444444442,812.8333333333356,350.5,4601.005905600076,0.5266666666666666
spark,5b0cda1auscty3x,200,120,0.6,0.5286666666666667,0.07133333333333325,347.6210000050068,284.5,246.0636346960125,0.44
spark,uwxv6k3egpqexz3,200,122,0.61,0.5388333333333333,0.07116666666666671,1059.574999998808,559.6999999880791,2286.919634245852,0.385
rep,ap81ay2br6cka12,300,171,0.57,0.49922222222222223,0.07077777777777772,696.8439999999106,361.69999999552965,1074.9092603833155,0.38333333333333336
spark,o0s5gwo44382rls,200,112,0.56,0.4895,0.07050000000000006,518.9139999949932,458.40000009536743,270.1415965994239,0.445
spark,46d0uard7gtt24q,200,128,0.64,0.5695,0.07050000000000001,300.17600000001954,225.1500000001397,310.50671656044887,0.405
rep,u13os16xepsc5je,300,173,0.5766666666666667,0.5076666666666667,0.06899999999999995,356.17000000000166,157.9999999999709,1142.191788348715,0.7633333333333333
rep,n8e357c7v1x4gpt,300,171,0.57,0.5011111111111111,0.06888888888888889,966.05699999849,706.0500000119209,724.4780766846305,0.5733333333333334
spark,7uou8eg87tbx5u0,200,108,0.54,0.4711666666666667,0.06883333333333336,711.4180000114441,180.60000014305115,6092.373943726026,0.425
spark,dn41v8te4g39rnz,200,120,0.6,0.5311666666666667,0.0688333333333333,385.9,287.5,342.05486056799566,0.34
rep,vz8ybgzn49g3kyv,300,169,0.5633333333333334,0.49477777777777776,0.06855555555555559,343.4966666666688,260.5000000000582,354.6137424626486,0.39
rep,1j7u245pzpotkv4,300,171,0.57,0.502,0.06799999999999995,418.2083333334327,248.09999999403954,569.9937739188224,0.44666666666666666
rep,m6yd0f2ep2kgvp5,300,172,0.5733333333333334,0.5064444444444445,0.06688888888888889,627.4426666679979,373.34999999403954,1070.1962414261782,0.4533333333333333
rep,5lzzr9z4ga1mtde,300,171,0.57,0.5034444444444445,0.06655555555555548,280.72833333849906,124.59999996423721,1067.4514382757686,0.5366666666666666
rep,shn6q0q5u0r3nbn,300,171,0.57,0.5037777777777778,0.06622222222222218,332.05833333412806,127.75,929.8482697642061,0.3933333333333333
rep,3uzecuzd5nk4ypo,300,169,0.5633333333333334,0.49722222222222223,0.06611111111111112,264.3576666670044,122.24999999254942,981.0526864646671,0.5733333333333334
spark,qz8cgch5nkp9j2p,200,115,0.575,0.5093333333333333,0.06566666666666665,916.6950000000047,398.0500000002794,1595.9606170677348,0.415
rep,t1m87ukxkyw5atc,300,169,0.5633333333333334,0.4978888888888889,0.06544444444444447,2203.214666665892,338.20000000298023,8906.696112779098,0.36666666666666664
spark,00efg9c6oh3oz2r,200,123,0.615,0.5498333333333333,0.0651666666666667,621.99,343,1301.6435918101786,0.36
rep,exjjq2cu8v6fq9s,300,168,0.56,0.4971111111111111,0.06288888888888894,1317.0466666666666,1050.9999999999418,1044.0823071174411,0.45
spark,b4zh0br00gmza79,200,119,0.595,0.5323333333333333,0.06266666666666665,671.16,378,1056.1696054980418,0.5
spark,vu35x6fdppjvx2d,200,116,0.58,0.5176666666666666,0.06233333333333335,319.02150000005963,231.69999999552965,941.8253755756042,0.38
rep,kmqtupbvom6cpy0,300,170,0.5666666666666667,0.5044444444444445,0.06222222222222218,631.2866666666674,467,592.9742484740777,0.4533333333333333
rep,yaafl1lj5ah4r2a,300,168,0.56,0.498,0.062000000000000055,1199.683333333335,953.5,1064.668514864617,0.4766666666666667
spark,zu6mn1j4qf0f22x,200,125,0.625,0.5636666666666666,0.06133333333333335,450.4140000024438,376.34999999403954,358.6923870752771,0.425
rep,hepynrayw9vhhuu,300,167,0.5566666666666666,0.49533333333333335,0.061333333333333295,578.3496666666741,307.6499999994412,1378.3374002021205,0.44
